iter	Logloss
185	0.5188199374
186	0.5186856917
187	0.5185640577
188	0.5184123852
189	0.5182542121
190	0.5181070814
191	0.5180081551
192	0.5179028776
193	0.5177783491
194	0.5176457198
195	0.5175091094
196	0.5173959684
197	0.5172825822
198	0.5171383499
199	0.5169796908
200	0.5168600711
201	0.5167672199
202	0.5166141768
203	0.5165265974
204	0.5164207064
205	0.5163449239
206	0.5162263067
207	0.516196755
208	0.5160358869
209	0.5158217216
210	0.515738983
211	0.5156150357
212	0.5154676904
213	0.5153428151
214	0.5152297351
215	0.5150719038
216	0.5149595934
217	0.5147531636
218	0.5146095814
219	0.5145113405
220	0.5143480941
221	0.5142217198
222	0.5141135792
223	0.5140300194
224	0.5139005315
225	0.5137280642
226	0.5135466395
227	0.5134035319
228	0.5132978875
229	0.5131951725
230	0.5130760996
231	0.5129334515
232	0.5128485072
233	0.5127678115
234	0.5126829166
235	0.5126042308
236	0.5124889305
237	0.5123612199
238	0.5122337633
239	0.5121493005
240	0.5120341232
241	0.5118556963
242	0.5117139643
243	0.5115737659
244	0.5113940499
245	0.5112643374
246	0.5111662938
247	0.511050298
248	0.5108785128
249	0.5107175428
250	0.5105932464
251	0.5104965385
252	0.5103444032
253	0.5102610352
254	0.5101383926
255	0.5100619973
256	0.5099323074
257	0.5098140262
258	0.5096942825
259	0.5095794281
260	0.5094415211
261	0.5092797576
262	0.5090495081
263	0.5089526018
264	0.5087343417
265	0.5085988119
266	0.5084584157
267	0.508298037
268	0.5081280427
269	0.5079818524
270	0.5078589887
271	0.5077515411
272	0.5076280243
273	0.5074932263
274	0.5073823169
275	0.507235773
276	0.5070685549
277	0.5069284835
278	0.5067927475
279	0.5066304855
280	0.5065077454
281	0.506332221
282	0.50624059
283	0.5060842108
284	0.5059369296
285	0.505822374
286	0.5056967253
287	0.5055271741
288	0.5054134585
289	0.5053081739
290	0.5051045409
291	0.5049779528
292	0.5048719471
293	0.5047343018
294	0.5046060544
295	0.5044679059
296	0.5043106812
297	0.5041679661
298	0.5040361332
299	0.5038904477
300	0.503720856
301	0.5035889818
302	0.5034003785
303	0.5032317519
304	0.5030884049
305	0.5029724155
306	0.5027637284
307	0.5026404312
308	0.5025296843
309	0.5023627152
310	0.5022164747
311	0.5020765904
312	0.5019092951
313	0.5017779549
314	0.5016441358
315	0.5015020539
316	0.5013705498
317	0.5012354075
318	0.5010916112
319	0.5008984111
320	0.5007753285
321	0.500664733
322	0.5005332749
323	0.500397264
324	0.5002593998
325	0.5000992795
326	0.4999877809
327	0.4998496245
328	0.4997216643
329	0.4995641417
330	0.4994389934
331	0.4992504081
332	0.4991272862
333	0.4989786188
334	0.4988852327
335	0.4987269715
336	0.4985835721
337	0.4984371743
338	0.4982958005
339	0.498151046
340	0.4980295941
341	0.4979265932
342	0.4978174767
343	0.4976600041
344	0.4974457431
345	0.4973171024
346	0.4972025461
347	0.4970485725
348	0.4968979015
349	0.4967503752
350	0.4966207733
351	0.4964905401
352	0.4963887837
353	0.4962370665
354	0.4961063175
355	0.4959767344
356	0.4958532115
357	0.4956816454
358	0.4955477578
359	0.4954124336
360	0.4952918875
361	0.495194083
362	0.4950576943
363	0.4949418694
364	0.4948249627
365	0.494694173
366	0.4945834674
367	0.4944613135
368	0.4943644825
369	0.4942548961
370	0.4940863312
371	0.4939501248
372	0.4938492415
373	0.4937172418
374	0.4936461175
375	0.4935186528
376	0.4933741466
377	0.4932446161
378	0.4931252123
379	0.4930027967
380	0.4928720451
381	0.4927450107
382	0.4926465306
383	0.4925070678
384	0.4923601761
385	0.4922462471
386	0.4921175425
387	0.4920097452
388	0.4918690395
389	0.4917463396
390	0.4916404882
391	0.4915292751
392	0.4914107312
393	0.4912859885
394	0.4911881827
395	0.491063049
396	0.4909512518
397	0.4908842948
398	0.4907911224
399	0.4906685283
400	0.4905427423
401	0.4904376386
402	0.4903309066
403	0.4902321254
404	0.4901337471
405	0.490012168
406	0.489904785
407	0.4897981394
408	0.4896533322
409	0.48955374
410	0.4894742733
411	0.4893512574
412	0.4892756717
413	0.4891787994
414	0.4890819244
415	0.4889776831
416	0.4888514532
417	0.4887078052
418	0.4885560384
419	0.4883794293
420	0.4882465222
421	0.4881170008
422	0.4879769638
423	0.4878910904
424	0.4877920152
425	0.4876765493
426	0.4875845192
427	0.487465903
428	0.4873413168
429	0.4872142075
430	0.4871038372
431	0.4869910551
432	0.4868781871
433	0.4867482092
434	0.4866285397
435	0.4864881643
436	0.48634661
437	0.4862259805
438	0.4861337839
439	0.4859907128
440	0.4858422006
441	0.4857313548
442	0.4856287871
443	0.4855165512
444	0.4853876223
445	0.4853059082
446	0.4852239365
447	0.4851163303
448	0.4850249514
449	0.4848984786
450	0.484767036
451	0.4846513625
452	0.4845057753
453	0.4844143472
454	0.4843095824
455	0.4842128508
456	0.4840972831
457	0.4839881552
458	0.4839153997
459	0.4838160952
460	0.4837216402
461	0.4836580329
462	0.483559422
463	0.4834307659
464	0.4833440956
465	0.4832625158
466	0.4831638505
467	0.4830655601
468	0.4829478289
469	0.4828462765
470	0.4827124449
471	0.4825832238
472	0.482484268
473	0.4823855685
474	0.4822820255
475	0.4821988274
476	0.4821011382
477	0.4819766232
478	0.4818659048
479	0.4817900997
480	0.4817226624
481	0.4816083081
482	0.4815271711
483	0.4814380619
484	0.4813484143
485	0.4812229078
486	0.481119904
487	0.4809844546
488	0.4809097684
489	0.4807968805
490	0.4807040783
491	0.4805551336
492	0.4804414499
493	0.4803262714
494	0.4802263681
495	0.4801239403
496	0.4800028719
497	0.4799317783
498	0.4798132201
499	0.4797275932
500	0.4796325089
501	0.479485064
502	0.4793931965
503	0.4793025626
504	0.4792072448
505	0.4791189579
506	0.4789988836
507	0.4788887348
508	0.4787771866
509	0.4786672799
510	0.4785741068
511	0.4784894562
512	0.4783779911
513	0.478280964
514	0.4781893158
515	0.4781140196
516	0.4780151589
517	0.4779233728
518	0.4778017838
519	0.4777023942
520	0.4776212666
521	0.4775458353
522	0.4774453284
523	0.4773237668
524	0.477237848
525	0.4771725886
526	0.4770918059
527	0.4769989206
528	0.4769123798
529	0.4768166432
530	0.4767003116
531	0.4765960318
532	0.4764990016
533	0.4763995525
534	0.4763175286
535	0.4762502043
536	0.4761713521
537	0.4760989467
538	0.4759937403
539	0.4759172829
540	0.4758366706
541	0.4757595138
542	0.475678265
543	0.4755905884
544	0.4755124626
545	0.4754312546
546	0.4753215546
547	0.4752380298
548	0.4751303856
549	0.475012699
550	0.4749299163
551	0.4748253762
552	0.4747197347
553	0.4745981685
554	0.4744886474
